Date,Coord-System,Altitude,Latitude,Longitude,D_deg,D_min,I_deg,I_min,H_nT,X_nT,Y_nT,Z_nT,F_nT,dD_min,dI_min,dH_nT,dX_nT,dY_nT,dZ_nT,dF_nT
2017,D,K600,24.1405102893566,-142.573426803281,10d,48m,43d,58m,20797.9,20430,3894.6,20065.1,28899.1,-3.4,2,-36.4,-31.9,-26.9,-11.3,-34
2017,D,K600,20.4492019038391,-143.430639652513,10d,18m,39d,12m,21390.8,21045.8,3826.3,17442.2,27600.7,-2.9,2.5,-35.6,-31.9,-23.9,-3.1,-29.5
2017,D,K600,16.7543212571628,-144.259558975827,9d,55m,33d,53m,21968.1,21640,3782.7,14748.6,26459.8,-2.4,3,-34,-30.8,-21,4.5,-25.7
2017,D,K600,13.0566092897581,-145.06658492223,9d,39m,27d,58m,22522.6,22204.2,3773.5,11961,25501.6,-2,3.3,-31.7,-29.1,-18.3,11.2,-22.7
2017,D,K600,9.35677654591647,-145.857299094611,9d,31m,21d,29m,23036,22719.5,3805.5,9062.7,24754.6,-1.7,3.7,-29,-26.8,-15.7,16.9,-20.8
2017,D,K600,5.65551419426594,-146.636702023668,9d,31m,14d,26m,23483.6,23160.3,3883,6047.5,24249.7,-1.3,3.9,-26.2,-24.3,-13.3,21.4,-20
2017,D,K600,1.95350140497035,-147.409405704956,9d,41m,6d,59m,23838.3,23499.1,4007.1,2921.9,24016.7,-1,4,-23.5,-21.9,-11,25,-20.2
2017,D,K600,-1.7485896457027,-148.179797488963,9d,59m,0d,-42m,24075.5,23710.5,4176.4,-296.4,24077.4,-0.8,3.9,-21,-19.8,-8.9,27.7,-21.3
2017,D,K600,-5.45009006434366,-148.952187907767,10d,27m,-8d,26m,24176.2,23775,4386.3,-3580.9,24440,-0.5,3.8,-18.9,-17.9,-7,29.8,-23.1
2017,D,K600,-9.15033095475344,-149.730953077855,11d,4m,-15d,57m,24127.9,23679.4,4630.3,-6899.4,25094.9,-0.3,3.5,-17.2,-16.5,-5.2,31.4,-25.2
2017,D,K600,-12.8486397257195,-150.52068167,11d,49m,-23d,8m,23925.1,23417.8,4900.5,-10217.4,26015.5,0,3.2,-15.9,-15.5,-3.5,32.8,-27.5
2017,D,K600,-16.544335108228,-151.326336944141,12d,43m,-29d,48m,23568.9,22990.8,5188.1,-13500.7,27161.8,0.2,2.8,-14.9,-14.8,-1.9,34,-29.8
2017,D,K600,-20.2367198612855,-152.153446269796,13d,45m,-35d,56m,23066.2,22404.5,5485.2,-16716.7,28486.8,0.4,2.4,-14.1,-14.4,-0.4,35.1,-32
